19 37
45 34
21 44
11 39
17 1
49 33
44 18
42 10
25 34
32 19
24 0
28 16
49 22
43 46
22 34
41 8
30 37
37 5
42 48
23 5
9 12
44 19
34 19
45 47
37 12
25 38
36 6
19 12
28 2
47 25
20 22
47 28
48 33
7 20
33 0
28 26
25 29
37 35
49 2
33 47
44 14
44 8
42 41
22 4
25 45
31 43
5 6
47 27
6 10
48 40
32 1
8 45
41 6
2 19
38 40
3 14
0 26
34 48
20 10
6 17
27 18
31 3
19 36
31 7
29 47
22 11
40 26
21 7
23 37
23 7
29 10
48 18
37 26
42 38
14 27
38 10
29 8
20 26
17 44
13 20
37 29
3 31
10 32
40 43
14 22
3 28
41 40
41 38
14 34
5 0
13 38
38 12
24 17
31 47
42 35
34 45
10 37
11 33
49 27
6 0
