44 35 2
48 48 8
46 43 6
27 24 1
4 41 6
49 29 5
23 48 0
26 28 9
11 27 3
17 9 5
27 49 3
23 26 9
23 41 6
48 9 1
43 13 8
28 42 7
17 8 1
45 21 3
5 24 4
14 20 6
14 14 0
43 16 5
3 42 3
39 36 9
7 14 1
37 44 8
43 35 6
9 44 9
4 40 0
38 30 0
1 18 1
40 35 5
33 18 7
40 29 4
26 21 6
1 4 9
2 40 8
40 27 4
47 33 7
23 29 2
32 8 6
28 8 7
25 18 7
1 11 0
2 40 5
9 16 3
44 12 6
0 2 4
8 2 9
32 2 7
25 8 6
8 22 5
46 49 5
40 1 2
32 3 7
10 7 5
11 10 7
18 0 7
18 22 3
37 37 2
3 30 3
24 22 0
35 36 3
37 37 5
0 4 9
0 5 1
4 3 1
12 40 5
22 25 0
19 8 3
41 16 3
43 34 7
13 48 7
48 19 9
29 38 4
27 25 2
4 26 3
31 6 9
16 49 5
30 43 7
41 42 6
21 37 7
17 39 6
0 0 4
10 38 9
28 17 2
14 21 8
46 22 7
7 33 0
36 46 8
5 16 7
19 12 9
13 45 6
11 40 4
49 25 3
30 16 2
35 29 9
16 17 3
6 5 0
18 42 8
16 48 3
43 26 5
33 27 1
1 3 3
7 21 6
6 45 6
27 40 7
31 8 3
34 20 2
37 33 4
30 18 2
31 23 9
9 6 2
39 28 3
48 1 9
12 14 6
49 12 4
12 6 1
45 6 4
37 1 0
17 29 7
19 48 0
35 16 8
3 13 6
41 3 1
34 8 4
35 26 7
8 23 6
11 3 5
13 1 7
44 4 9
38 7 8
46 33 0
41 40 1
9 3 7
41 6 6
7 21 6
38 27 8
10 38 1
1 33 8
44 11 4
8 26 7
7 40 2
21 12 7
20 5 3
20 44 3
40 10 3
25 15 2
20 20 7
45 21 3
44 18 1
26 45 0
34 17 7
3 9 1
25 15 2
43 13 4
27 32 0
10 8 1
47 31 1
29 0 8
16 26 7
8 14 6
6 14 8
0 41 0
33 49 0
35 42 6
37 28 0
22 36 3
6 7 5
33 11 9
40 6 0
27 19 6
36 34 5
23 9 2
48 26 3
3 4 4
48 10 7
6 37 0
7 28 6
27 5 1
20 2 9
30 27 3
32 49 3
45 41 6
27 8 5
14 5 8
12 7 5
48 2 4
48 2 9
28 10 5
13 23 0
26 33 7
9 28 5
47 41 0
40 11 9
20 42 4
44 31 8
26 22 4
20 43 5
40 1 0
21 40 6
20 49 3
18 0 4
46 12 0
3 33 1
31 42 3
38 20 3
30 17 4
41 11 2
20 30 7
1 39 2
36 19 9
32 22 7
10 48 9
19 46 8
47 9 4
2 22 2
45 28 4
34 11 1
38 28 5
20 5 4
6 30 4
13 21 5
21 22 7
38 48 1
6 19 4
2 46 6
8 48 6
8 24 4
21 2 2
42 19 4
49 5 1
11 49 1
49 18 4
16 43 3
13 40 2
10 46 2
25 30 4
1 0 9
36 30 5
49 4 8
20 9 6
35 16 5
25 45 4
47 45 3
5 39 7
32 33 3
31 5 5
16 15 5
11 20 0
37 29 3
27 18 7
15 14 1
39 26 5
10 47 8
33 34 9
33 15 2
8 33 0
22 20 6
39 4 4
35 26 2
40 13 2
9 31 4
16 34 1
18 3 8
34 35 6
35 2 5
41 24 2
37 19 3
5 18 2
7 17 6
13 15 5
36 44 1
18 46 8
49 25 2
6 11 2
1 40 9
32 42 3
47 18 9
31 0 2
17 20 8
29 37 1
29 47 5
24 3 8
43 46 7
9 7 1
48 12 0
8 21 8
46 46 1
15 29 8
29 6 1
40 3 4
47 35 6
42 24 0
1 39 6
43 15 4
38 49 0
47 28 5
7 31 6
13 24 6
28 33 3
17 40 7
12 43 2
29 20 8
29 15 7
5 12 4
49 45 4
5 7 4
28 26 1
26 16 6
36 35 6
38 21 1
48 19 8
9 14 6
43 19 5
28 31 5
22 22 5
15 13 5
32 17 1
35 18 8
40 14 7
11 2 8
20 40 3
10 32 1
15 13 0
39 1 8
14 10 5
18 15 7
9 37 3
48 36 8
34 38 2
8 45 7
21 48 3
3 38 7
3 45 5
22 14 2
37 42 1
34 4 6
27 2 0
38 41 3
14 7 6
23 44 7
8 4 6
20 19 6
24 6 8
49 30 5
2 45 3
17 10 4
48 49 9
34 26 1
32 8 6
35 37 5
33 26 6
27 47 5
20 18 6
43 42 2
9 21 6
42 34 6
18 4 2
17 43 4
41 6 3
10 19 8
14 31 4
46 10 7
18 7 0
13 9 7
11 24 0
27 5 1
2 10 5
19 5 3
36 7 3
25 27 8
42 35 7
42 23 9
27 25 6
23 10 8
38 46 6
7 7 9
20 15 3
41 36 9
23 9 7
9 21 4
11 48 7
32 29 1
43 5 0
26 34 2
18 31 5
44 7 6
38 8 6
38 18 1
49 33 6
48 28 1
24 27 3
46 13 3
39 1 1
34 18 1
19 19 1
16 34 3
9 9 5
6 47 0
19 5 3
8 7 0
12 13 9
39 6 5
7 18 1
10 20 8
6 8 8
34 0 9
19 48 7
5 24 4
14 26 7
32 33 7
5 12 1
19 36 1
39 3 8
21 35 9
42 2 1
43 24 2
25 39 5
35 33 6
18 46 8
39 1 9
8 2 3
6 18 5
21 19 9
3 26 9
7 17 2
26 31 6
20 28 1
42 11 9
42 36 6
16 37 8
38 30 9
17 37 1
46 26 8
25 49 0
4 33 7
48 36 4
4 38 8
36 15 5
10 15 6
2 43 9
24 24 2
30 8 6
15 41 3
38 0 9
27 0 1
31 16 4
33 31 2
34 40 8
28 42 4
4 9 3
8 36 9
47 6 8
43 49 5
14 28 3
12 10 1
35 22 6
23 9 1
22 47 7
8 42 6
32 17 6
12 41 7
44 49 5
40 49 4
32 40 3
44 49 1
31 44 7
17 21 8
26 39 4
1 28 3
21 33 1
43 3 9
3 31 2
6 16 6
47 39 0
41 34 0
42 38 8
28 18 0
5 37 3
29 41 6
43 3 8
43 35 2
35 10 6
49 31 6
39 18 9
25 11 3
26 16 2
43 25 2
3 20 8
11 13 8
37 40 9
12 29 0
30 7 0
39 44 2
48 42 3
25 45 8
16 31 8
8 6 2
30 0 7
